id,name,shop_url,agb_url;
887,ECom Union GmbH,www.onletto.de,https://www.onletto.de/bestellvorgang/agb/
888,Tim Albert,www.moebeltraum24.de,http://www.moebeltraum24.de/agb
889,Wamhoff GmbH & Co. KG,www.wamhoff-shop.de,https://www.wamhoff-shop.de/agb
890,Otto (GmbH & Co KG),www.schlafwelt.de,https://www.schlafwelt.de/service/#agb_23
891,MRG Computer - Mario Reifschneider,www.lapstars.de,https://www.lapstars.de/information.php?info_id=1
892,Gourmondo Food GmbH,www.gourmondo.de,https://www.gourmondo.de/terms-conditions
893,Delticom AG,www.autopink-shop.de,https://www.autopink-shop.de/AGBs.html
894,Foto Lehmann Inh. Uwe Sommer e.K.,fotolehmann.rf-webworld.de,https://fotolehmann.rf-webworld.de/info/agb
895,Onlinehandel Ricardo Dietrich,www.shoptastic.de,https://www.shoptastic.de/agb/
896,AB-SOFT sp. z o.o.,buy-soft.de,https://buy-soft.de/index.php?id_cms=44&controller=cms
897,Oponeo.de GmbH,www.oponeo.de,https://www.oponeo.de/agb
898,accipo GmbH,www.dorsalo.de,https://www.dorsalo.de/agb
899,Weiner GmbH & Co. KG,www.hazet-freak.de,https://www.hazet-freak.de/?id=6
900,Elektro Göttert GmbH & Co. KG,www.elektro-goettert.de,https://www.elektro-goettert.de//allgemeine-geschaeftsbedingungen-kundeninformationen.html
901,ELV Elektronik AG,www.elv.de,https://www.elv.de/output/controller.aspx?cid=169
902,Rasche24 UG&Co.KG,www.werkzeugoutlet24.de,https://www.werkzeugoutlet24.de/conditions.php
903,hygi.de GmbH & Co. KG,www.hygi.de,https://www.hygi.de/agb.html
904,timeshop24.de Limited,www.timeshop24.de,https://www.timeshop24.de/agb
905,Cologne Trading House GmbH,www.gartenfachmarkt24.de,https://www.gartenfachmarkt24.de/ecms.php?ecms%5bdo%5d%5btype%5d=PAGE&ecms%5bdo%5d%5bid%5d=agb&ecms%5bdo%5d%5bparams%5d=&ecms%5bdo%5d%5bfilename%5d=agb&ecms%5bdo%5d%5bpath%5d=
906,ATP Auto-Teile-Pöllath Handels GmbH,www.idealo.de,https://www.idealo.de/preisvergleich/Shop/290992.html
907,Stefan Träger,www.bavarian-adventure.de,https://www.bavarian-adventure.de/agb
908,Radiostore Handels GmbH,www.radiostore.de,https://www.radiostore.de/AGB/
909,Betron AG I best-in-jura,www.best-in-jura.de,https://www.best-in-jura.de/shop_content.php/coID/3/content/Unsere-AGB
910,early B GmbH,www.r2g.de,https://www.r2g.de/AGB:_:3.html
911,DePauli AG,www.herrenausstatter.de,https://www.herrenausstatter.de/agb_frm.html
912,MGS Münchner Getränke Service GmbH,www.rumfass.de,https://www.rumfass.de/agb
913,Johannes Weiß,www.forstgarten24.de,https://www.forstgarten24.de/AGB
914,Scholl Reinigungstechnik GmbH & Co. KG,www.cleanclub.de,https://www.cleanclub.de/agb/
915,Toni Hausmann,www.elektro-hausmann.de,https://www.elektro-hausmann.de/agb
916,Racing Planet Vertrieb GmbH,www.racing-planet.de,https://www.racing-planet.de/agb-ct-208-1.html
917,TRC Toner Recycling Center GmbH,www.toner-partner24.de,https://www.toner-partner24.de/AGB
918,HKS Kamin- und Kachelofen GmbH,www.hks-kamine.de,https://www.hks-kamine.de/info/allgemeine-geschaeftsbedingungen.html
919,Kirsten Küper,www.kikiwelt.de,http://www.kikiwelt.de/shop_content.php?coID=3
920,eunovis OHG,www.spielzeug24.de,https://www.spielzeug24.de/conditions.php
