id,name,shop_url,agb_url;;;;;;
100,eXXpozed - sports &amp; fashion Andreas Oliver Bindhammer e. K.,www.exxpozed.de,http://www.exxpozed.de/service/agb;;;;;
101,SatKing GmbH,www.satking.de,http://www.satking.de/AGB/;;;;;;
102,AMS e-commerce GmbH,www.alles-mit-stecker.de,http://www.alles-mit-stecker.de/Unsere-AGB:_:3.html;;;;;;
103,Alexander Vogel,www.gamingoase.de,http://www.gamingoase.de/index.php?page=content&coID=3;;;;;;
104,Giga GmbH,www.giga-reifen.de,https://www.giga-reifen.de/AGBs.html;;;;;;
105,Delticom AG,www.reifendirekt.de,https://www.reifendirekt.de/AGBs.html;;;;;;
106,H. von Roon KG,www.hvr-24.de,https://www.hvr-24.de/agb;;;;;;
107,Vitaapotheke (Bioapotheke.de),www.bioapotheke.de,http://www.bioapotheke.de/conditions.php;;;;;;
108,ATI Autoteile Immler,www.autoteile-immler.com,http://www.autoteile-immler.com/public/dyn_layer.aspx?tpl=_AGB_&suid=161&zid=c65da0b2-b3d0-4a0d-82db-ca8becf503a2/;;;;;;
109,f1-reifen.de - Inh. Frank Thurau,www.f1-reifen.de,http://www.f1-reifen.de/shop/shop_content.php?coID=3;;;;;;
110,HM-Sat GmbH,www.hm-sat-shop.de,https://www.hm-sat-shop.de/agb-und-kundeninfo;;;;;;
111,Eichhorn AG,www.mein-online-baumarkt.de,https://www.mein-online-baumarkt.de/shop/agb/about/70/;;;;;;
112,teures-billiger.de GmbH,www.teures-billiger.de,https://www.teures-billiger.de/?com=help&mhp_str=termsandconditions&lang=;;;;;;
113,NetFactory Gesellschaft für Netzwerklösungen mbH,www.easynotebooks.de,http://www.easynotebooks.de/xanario_cinfo.php?language=de&content_id=38&sessID=f4391b557ed7bc0fa7fcf653dca3367e&menu=4&shop_ID=4;;;;;;
114,eCom-Dresden OHG,www.allego.de,https://www.allego.de/agb.html;;;;;;
115,GLOBUS hitseller GmbH,www.hitseller.de,http://www.hitseller.de/?siteNotAvailable=1;;;;;;
116,CSV Computer Service &amp; Vertrieb,www.csv-direct.de,http://www.csv-direct.de/agb.html;;;;;
117,Satkontor GmbH,www.satkontor.de,http://www.satkontor.de/montage-installation/programmer-module/prozessorkarten/;;;;;;
118,Master's Elektromarkt GmbH,www.emarkt24.com,https://www.emarkt24.com/agb/;;;;;;
119,OTTO Office GmbH &amp; Co KG,www.otto-office.com,http://www.otto-office.com/de/agbs.obtshop?wkid=OO-1-DE8MvNTuDxWDkYHwZb&utm_campaign=direct&utm_medium=directurl&utm_source=katalog&utm_content=agb;;;;;
120,Crowdfox GmbH,www.crowdfox.com,https://www.crowdfox.com/agb.html;;;;;;
121,Sagoma Küchenwelt Vertrieb GmbH &amp; Co. KG,www.vogt-kuechentechnik.de,https://www.vogt-kuechentechnik.de/cgi-bin/shop/front/shop_main.cgi?func=htmlserv&tmpl=shop_text_win.html&content=std_agb&wkid=13913184982332;;;;;
122,ARS24 GmbH &amp; Co. KG,www.ars24.com,https://www.ars24.com/agb-und-kundeninformation;;;;;
123,PDA Max GmbH &amp; Co. KG,www.pdamax.de,https://www.pdamax.de/agb.html;;;;;
"124,Ellerbrock ""Bad und Küche"" GmbH,www.ellerbrockshop.de,http://www.ellerbrockshop.de/unsere-agb";;;;;;
125,faro-com GmbH &amp; Co. KG,www.handyschotte.com,http://www.handyschotte.com/infocenter/agb.htm;;;;;
126,CHAL-TEC GmbH,www.elektronik-star.de,http://www.elektronik-star.de/Information/terms/Unsere_AGB.htm;;;;;;
127,Priz GmbH,www.priz24.de,http://www.priz24.de/agb;;;;;;
128,celexon Germany GmbH &amp; Co. KG,www.beamershop24.de,https://www.beamershop24.de/de/unternehmen/agb;;;;;
129,Amazon.de GmbH,www.amazon.de,https://www.amazon.de/gp/help/customer/display.html?ie=UTF8&nodeId=505048;;;;;;
130,Manfred Jilg e.K.,www.technik-profis.de,https://www.technik-profis.de/agb;;;;;;
131,slewo // schlafen leben wohnen GmbH,www.slewo.com,https://www.slewo.com/static/files/agb20170313.pdf;;;;;;
132,Office Partner GmbH,www.365tageoffen.de,https://www.365tageoffen.de/unternehmen/AGB_custom_4.html;;;;;;
133,Volt Venture GmbH,www.clevertronic.de,https://www.clevertronic.de/agb;;;;;;
134,office direct GmbH,www.tintenfux.de,http://www.tintenfux.de/UgsTTConditionsView;;;;;;
135,Fritz-Walter Mescher e.K.,www.premiumshop24.de,https://www.premiumshop24.de/agb;;;;;;
136,Reifendachs - Inh. Roberto Marschel,www.reifendachs.de,https://www.reifendachs.de/agb.html;;;;;;
137,Zentral Drogerie GmbH,www.zentraldrogerie.de,https://www.zentraldrogerie.de/agb/;;;;;;
138,Delticom AG,www.autoteile-meile.de,https://www.autoteile-meile.de/agb;;;;;;
139,Agire GmbH &amp; Co. KG,www.banemo.de,https://www.banemo.de/unsere-agb.html;;;;;
